noc,description,duties,titles,related_occupations
NOC 2273,"Deck officers, water transport, operate and command ships or self-propelled vessels to transport passengers and cargo on oceans and coastal and inland waters, and supervise and co-ordinate the activities of deck crews. This unit group also includes Canadian Coast Guard deck officers. They are employed by marine transportation companies and federal government departments.","['Command and operate ships or other self-propelled vessels, such as barges or oil rigs, to transport passengers and cargo', 'Command and operate coast guard vessels to provide ice-breaking and search and rescue services, and to maintain control over ships operating in Canadian waters', ""Board vessels at berth or from pilot boats to advise ships' captains on the course to steer for safe passage into and out of ports, seaways or other waterways under pilotage authority"", 'Plan and execute safe navigational passage using navigational aids', 'Determine geographical position using navigational instruments, maps and charts', 'Guide vessels in rivers, canals, and other confined or hazardous waters and waterways', ""Maintain vessels' navigational instruments and equipment"", 'Direct and oversee the loading and unloading of cargo', 'Supervise and co-ordinate the activities of deck crews', ""Record vessel progress, crew activities, weather and sea conditions in the ship's log.""]","['ferryboat master', 'ship pilot', 'navigation officer, Coast Guard vessel', 'first mate, ship', ""ship's mate"", 'tugboat captain', 'Coast Guard vessel watchkeeping officer', 'ship third mate', ""ship's captain"", 'ship second mate', 'master mariner', 'deck officer - water transport']","['Managers in transportation', 'Engineer officers, water transport', 'Fishing masters and officers', 'Water transport deck and engine room crew']"
NOC 2274,"Engineer officers, water transport, operate and maintain main engines, machinery and auxiliary equipment aboard ships and other self-propelled vessels, and supervise and co-ordinate the activities of engine room crews. They are employed by marine transportation companies and federal government departments.","['Operate main engines, machinery and all auxiliary equipment aboard ships, such as boilers, steering and deck machinery, motors, pumps, generators and condensers', 'Stand engine room watch, monitoring and noting performance of engines, machinery and all auxiliary equipment', 'Inspect and conduct maintenance and emergency repairs to engines, machinery and all auxiliary equipment', 'Supervise and co-ordinate the activities of the engine room crew', 'Maintain records and prepare reports on engine performance and failures.']","['chief engineer - water transport', 'tugboat engineer', 'marine engineer officer', 'fourth engineer - water transport', 'third engineer - water transport', 'second engineer', 'engineer officer - water transport']","['Managers in transportation', 'Mechanical engineers', 'Other professional engineers, n.e.c.', 'Deck officers, water transport', 'Water transport deck and engine room crew']"
NOC 4155,Probation officers monitor the conduct and behaviour of criminal offenders serving probation terms. Parole officers monitor the reintegration of criminal offenders serving the remainder of sentences while conditionally released into the community on parole. Classification officers assess inmates and develop rehabilitation programs for criminal offenders who are incarcerated in correctional facilities. They are employed by federal and provincial governments and work in the community and in correctional facilities.,"['Probation and parole officers', ""Interview offenders, police, family, friends, school authorities and employers to prepare pre-sentence reports and assess offenders' prospects for successful reintegration into the community"", 'Plan rehabilitation programs with offenders, establishing rules of conduct, goals and objectives', 'Refer offenders to community and social service programs, as required', 'Supervise the terms of a probation order and attend court', 'Interview probationers and parolees regularly to evaluate their progress in accomplishing goals and maintaining the terms specified in their probation contracts and rehabilitation plans', 'Recommend remedial action or initiate court action when terms of probation or parole are violated', 'May perform administrative duties and supervise support staff', 'May participate in policy development.', 'Classification officers - correctional institutions', 'Interview inmates to assess adjustment problems and develop suitable rehabilitation programs', 'Prepare classification reports recommending type of incarceration and types of interventions considered most beneficial for the rehabilitation of the inmates', 'Plan rehabilitation programs with offenders, identifying needs and setting out goals and objectives', ""Liaise with the inmates' families and contacts in the community to maintain established bonds outside of the institution"", 'Advise and counsel inmates regarding their problems and evaluate their progress.']","['classification officer - correctional institution', 'parole officer', 'probation officer', 'youth worker - corrections', 'case manager - corrections']","['Managers in social, community and correctional services', 'Social and community service workers', 'Correctional service officers', 'Social workers']"
NOC 3113,"Dentists diagnose, treat, prevent and control disorders of the teeth and mouth. They work in private practice or may be employed in hospitals, clinics, public health facilities or universities.","[""Examine patients' teeth, gums and surrounding tissue to diagnose disease, injury and decay and plan appropriate treatment"", 'Restore, extract and replace diseased and decayed teeth', 'Perform oral surgery, periodontal surgery and other treatments', 'Clean teeth and instruct patients on oral hygiene', 'Design bridgework, fit dentures and provide appliances to correct abnormal positioning of the teeth and jaws, or write fabrication instructions or prescriptions for use by denturists and dental technicians', 'Supervise dental hygienists, dental assistants and other staff.', 'Dentists may specialize in such areas as oral and maxillofacial surgery, orthodontics, pediatric dentistry, periodontics, endodontics, prosthodontics, oral pathology, oral radiology or public health dentistry.']","['dentist', 'endodontist', 'oral and maxillofacial surgeon', 'oral pathologist', 'oral radiologist', 'orthodontist', 'pediatric dentist', 'periodontist', 'prosthodontist', 'public health dentist']","['Denturists', 'Dental assistants', 'Dental hygienists and dental therapists', 'Dental technologists, technicians and laboratory assistants']"
NOC 3122,"Chiropractors diagnose, treat and prevent patients' neuromuscular-skeletal disorders of the spine, nervous system, pelvis and other body joints by adjusting the spinal column or through other corrective manipulation. They are usually in private practice or in clinics with other health practitioners.","[""Take patients' case history, conduct examinations, observe patients, and perform X-rays and other tests to diagnose patient's condition"", 'Diagnose neuromuscular-skeletal disorders of the spinal column, pelvis, extremities and associated tissues', 'Treat health disorders in a natural manner through adjustments or articular manipulations and complementary treatments such as electrotherapy, acupuncture, heat therapy and massage with special attention given to the spine', 'Advise patients on alternate treatment modalities such as corrective exercises, posture, lifestyle and nutrition that have positive effects on the spine, joints, muscles and nervous system.', 'Refer patients for medical care when appropriate.']","['chiropractic doctor', 'chiropractor']",['Other assisting occupations in support of health services']
NOC 3143,"Occupational therapists develop individual and group programs with people affected by illness, injury, developmental disorders, emotional or psychological problems and aging to maintain, restore or increase their ability to care for themselves and to engage in work, school or leisure. They also develop and implement health promotion programs with individuals, community groups and employers. They are employed in health care facilities, in schools, and by private and social services agencies, or they may be self-employed.","[""Analyse clients' capabilities and expectations related to life activities through observation, interviews and formal assessments"", ""Develop intervention programs to address clients' needs related to self-care, work and leisure activities"", ""Maintain clients' records"", 'Establish personalized care plans working as a member of an interdisciplinary team', 'Consult and advise on health promotion programs to prevent disabilities and to maximize independent function in all activities of life', 'May supervise support personnel and students and provide training.', 'Occupational therapists may specialize in working with specific populations such as children or adults, or persons with distinct problems such as dementia, traumatic brain injury and chronic pain, or provide special interventions such as return-to-work programs.']","['occupational therapy rehabilitation consultant', 'clinical occupational therapist', 'community occupational therapist', 'occupational therapist (OT)', 'occupational therapist, case manager', 'occupational therapist, research and development']","['Managers in health care', 'Instructors of persons with disabilities']"
NOC 3216,"Medical sonographers operate ultrasound equipment to produce and record images of various parts of the body to aid physicians in monitoring pregnancies and in diagnosing cardiac, ophthalmic, vascular and other medical disorders. They are employed in clinics and hospitals. Medical sonographers who are supervisors or instructors are included in this unit group.","['Operate ultrasound imaging equipment that transmits high frequency sound pulses through the body to produce images of those parts of the body requiring examination', 'Monitor examination by viewing images on video screen, to evaluate quality and consistency of diagnostic images, and make adjustments to equipment, as required', 'Record, store and process scanned images by using camera unit connected to ultrasound equipment', 'Observe and care for patients throughout examinations to ensure patient safety and comfort', 'Prepare examination reports for physicians to aid in the monitoring of pregnancies and the diagnosis of cardiac, abdominal, ophthalmic, vascular and other disorders', 'Perform quality control checks on ultrasound equipment to ensure proper operation and perform minor repairs and adjustments as required', 'May supervise and train students and other medical sonographers.', 'Medical sonographers may specialize in abdominal, cardiac, cerebral, obstetrical and gynaecological, ophthalmic, intraluminal or peripheral vascular sonography. They may also specialize in adult or pediatric echocardiography or neurosonology.']","['diagnostic medical sonography instructor', 'medical sonographer', 'registered diagnostic medical sonographer (RDMS)', 'medical sonographers supervisor', 'ultrasound technologist']",['Medical radiation technologists']
NOC 3221,"Denturists examine patients and design, construct and repair removable dentures. Most denturists work in private practice.","[""Measure patients' jaws to determine size and shape of dentures required"", ""Make impressions of patients' teeth, gums and jaws"", 'Design and construct dentures or direct other workers to construct dentures', 'Insert, fit and modify new dentures', 'Repair dentures', 'Reline, rebase and adjust dentures', 'Fabricate mouth protectors, anti-snoring prostheses and removable prostheses on implants', 'May order radiographs', 'May prepare partial dentures', 'May perform denture whitening and cleaning.']","['dental mechanic', 'denturist', 'denturologist']","['Dental assistants', 'Dentists', 'Dental hygienists and dental therapists', 'Dental technologists, technicians and laboratory assistants']"
NOC 3233,"Licensed practical nurses provide nursing care usually under the direction of medical practitioners, registered nurses or other health team members. Operating room technicians prepare patients and provide assistance to medical practitioners prior to and during surgery. Licensed practical nurses are employed in hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, companies, private homes and community health centres. Operating room technicians are employed in hospitals.","['Licensed practical nurses', 'Provide nursing services, within defined scope of practice, to patients based on patient assessment and care planning procedures', 'Perform nursing interventions such as taking vital signs, applying aseptic techniques including sterile dressing, ensuring infection control, monitoring nutritional intake and conducting specimen collection', 'Administer medication and observe and document therapeutic effects', 'Provide pre-operative and post-operative personal and comfort care', 'Monitor established respiratory therapy and  intravenous therapy', ""Monitor patients' progress, evaluate and document effectiveness of nursing interventions and collaborate with appropriate members of health care team"", 'Provide safety and health education to individuals and their families.', 'Operating room technicians', ""Prepare patients for surgery by washing, shaving and sterilizing the patients' operative areas"", 'Assist in surgery by laying out instruments, setting up equipment, assisting surgical teams with gowns and gloves and passing instruments to surgeons', ""Monitor patients' status during surgery, such as intake, output and loss of blood, and communicate and document any changes"", 'Clean and sterilize the operating room and instruments.']","['graduate nursing assistant', 'operating room technician', 'licensed practical nurse (L.P.N.)', 'registered nursing assistant (R.N.A.)']","['Nurse aides, orderlies and patient service associates', 'Home support workers, housekeepers and related occupations']"
NOC 4111,Judges adjudicate civil and criminal cases and administer justice in courts of law. Judges preside over federal and provincial courts.,"['Preside over courts of law, interpret and enforce rules of procedure and make rulings regarding the admissibility of evidence', 'Instruct the jury on laws that are applicable to the case', 'Weigh and consider evidence in non-jury trials and decide legal guilt or innocence or degree of liability of the accused or defendant', 'Pass sentence on persons convicted in criminal cases and determine damages or other appropriate remedy in civil cases', 'Grant divorces and divide assets between spouses', 'Determine custody of children between contesting parents and other guardians', 'Enforce court orders for access or support', 'Supervise other judges and court officers.', 'Judges may specialize in particular areas of law such as civil, criminal or family law.']","['chief justice', 'county court judge', ""Court of Queen's Bench justice"", 'district court judge', 'family court judge', 'federal trial court justice', 'provincial court of appeal justice', 'small claims court judge', 'superior court justice', 'Supreme Court justice']","['Government managers - health and social policy development and program administration', 'Court officers and justices of the peace']"
NOC 7251,"Plumbers install, repair and maintain pipes, fixtures and other plumbing equipment used for water distribution and waste water disposal in residential, commercial and industrial buildings. They are employed in maintenance departments of factories, plants and similar establishments, by plumbing contractors, or they may be self-employed.","['Read blueprints, drawings and specifications to determine layout of plumbing system, water supply network and waste and drainage systems', 'Install, repair and maintain domestic, commercial or industrial plumbing fixtures and systems', 'Locate and mark positions for pipe connections, passage holes and fixtures in walls and floors', 'Cut opening in walls and floors to accommodate pipe and pipe fittings', 'Measure, cut, bend and thread pipes using hand and power tools or machines', 'Join pipes using couplings, clamps, screws, bolts, cement or soldering, brazing and welding equipment', 'Test pipes for leaks using air and water pressure gauges', 'May prepare cost estimates.']","['plumber apprentice', 'maintenance plumber', 'plumber', 'plumbing mechanic']","['Gas fitters', 'Contractors and supervisors, pipefitting trades', 'Steamfitters, pipefitters and sprinkler system installers']"
NOC 7234,"Boilermakers fabricate, assemble, erect, test, maintain and repair boilers, vessels, tanks, towers, heat exchangers and other heavy-metal structures. They are employed in boiler fabrication, manufacturing, shipbuilding, construction, electric power generation and similar industrial establishments.","['Read blueprints or specifications to plan sequence of operation', 'Lay out plate, sheet steel or other heavy metal and mark bending and cutting lines on work piece using protractors, compasses and drawing instruments or templates', 'Set up and operate heavy-metal working machines such as brakes, rolls, shears, flame cutters and drill presses to cut, shape and form metal into parts or sections', 'Fit and weld metal parts or sections together to fabricate boilers, vessels, tanks, heat exchangers, piping and other heavy-metal products', 'Erect and install boilers and other heavy-metal products according to specifications using hand and power tools', 'Repair and perform maintenance work on boilers and other heavy-metal products', 'Direct activities of hoist or crane operators and other workers during fabrication, assembly, installation or repair of structures', 'Test finished structures using a variety of methods.', 'Boilermakers may specialize in rigging and hoisting, preparation and layout, or welding aspects of the trade.']","['boiler fitter', 'boiler installer', 'boilermaker', 'boilermaker apprentice', 'construction boilermaker', 'industrial boilermaker', 'marine boilermaker', 'pressure vessel fabricator']","['Structural metal and platework fabricators and fitters', 'Ironworkers', 'Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations', 'Welders and related machine operators']"
NOC 7235,"Structural metal and platework fabricators and fitters fabricate, assemble, fit and install steel or other metal components for buildings, bridges, tanks, towers, boilers, pressure vessels and other similar structures and products. They are employed in structural steel, boiler and platework fabrication plants and by heavy machinery manufacturing and shipbuilding companies.","['Study engineering drawings and blueprints, determine the materials required, and plan the sequence of tasks to cut metal most efficiently', 'Construct patterns and templates as guides for layouts', 'Lay out reference points and patterns on heavy metal according to component specifications', 'Rig, hoist and move materials to storage areas or within worksite', 'Assemble and fit metal sections and plates to form complete units or subunits using tack welding, bolting, riveting or other methods', 'Set up and operate various heavy-duty metal-working machines such as brake presses, shears, cutting torches, grinders and drills, including computer numerical control (CNC) equipment, to bend, cut, form, punch, drill or otherwise form heavy-metal components', 'Install fabricated components in final product.']","['shipfitter', 'shipfitter apprentice', 'platework fitter', 'structural steel fitter', 'metal fabricator', 'plater', 'steel fabricator']","['Boilermakers', 'Ironworkers', 'Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations', 'Welders and related machine operators', 'Metalworking and forging machine operators']"
NOC 7236,"Ironworkers fabricate, erect, hoist, install, repair and service structural ironwork, precast concrete, concrete reinforcing materials, curtain walls, ornamental iron and other metals used in the construction of buildings, bridges, highways, dams and other structures and equipment. They are employed by construction ironwork contractors.","['Read blueprints and specifications to lay out work', 'Unload and position steel units so each piece can be hoisted as needed', 'Erect and install scaffolding, hoisting equipment and rigging', 'Signal crane operator to position steel units according to blueprints', 'Align and weld or bolt steel units in place', 'Erect structural and architectural precast concrete components for buildings, bridges, towers and other structures', 'Assemble and erect prefabricated metal structures', 'Position and secure steel bars or metal mesh in concrete forms to reinforce concrete structures', 'Install ornamental and other structural metalwork such as curtain walls, metal stairways, railings and power doors', 'Examine structures and equipment for deterioration, defects or non-compliance with specifications', 'May dismantle structures and equipment.']","['ironworker apprentice', 'reinforcing ironworker', 'ornamental ironworker', 'structural steel erector', 'ironworker', 'ironworker - metal building systems erector']","['Boilermakers', 'Structural metal and platework fabricators and fitters', 'Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations']"
NOC 4167,"Policy researchers, consultants and program officers in recreation, sports and fitness oversee and administer recreation, sports and fitness programs and activities, provide consulting services, conduct research and develop programs and policies related to recreation, sports and physical fitness. They are employed by federal, provincial and municipal governments, recreation, sports, fitness and health care facilities, retirement homes, community centres, sports and fitness consulting firms and organizations, or they may be self-employed.","['Recreation, sports and fitness policy analysts', 'Conduct research and develop government policies related to recreation, sports, fitness and athletic safety and standards.', 'Sports program consultants', 'Provide expert advice and consulting services to sports associations and other organizations in the design, development and administration of sports programs and activities.', 'Fitness program consultants', 'Provide expert advice and consulting services to community groups, corporations, schools and other organizations in the design and development of fitness programs and activities. They may write proposals and public relations statements for corporations, industry and the fitness community.', 'Recreation program consultants', 'Provide expert advice and consulting services to communities, corporations, institutions and other organizations in the design, development and promotion of recreation programs and activities.', 'Recreation, sports and fitness program supervisors', 'Develop, plan and co-ordinate sports, fitness and recreation programs, and special sporting events.']","['recreologist', 'fitness policy analyst', 'sports analyst', 'sports and recreation consultant', 'sports program supervisor', 'sports policy analyst', 'fitness consultant', 'sports consultant', 'recreation consultant']","['Recreation, sports and fitness program and service directors', 'Program leaders and instructors in recreation, sport and fitness']"
NOC 2148,"Other professional engineers include agricultural and bio-resource engineers, biomedical engineers, engineering physicists and engineering scientists, marine and naval engineers, textile engineers and other specialized engineering occupations.","['Agricultural and bio-resource engineers', 'Design and develop machinery, structures, equipment and systems related to agriculture and food processing.', 'Biomedical engineers', 'Design and develop medical diagnostic and clinical instrumentation, equipment and procedures; develop devices to assist persons with disabilities; advise hospital administrators on planning, acquisition and use of medical equipment; and modify and install or supervise installation of equipment.', 'Engineering physicists and engineering scientists', 'Conduct research, develop processes, programs and equipment to expand fundamental knowledge in the applied sciences and engineering and to support advanced engineering and scientific applications.', 'Marine and naval engineers', 'Design and develop marine vessels and floating structures and associated marine power plants, propulsion systems and related systems and equipment and oversee the building, maintenance and repair of vessels and marine systems.', 'Textile engineers', 'Design and develop processes, equipment and procedures for the production of fibres, yarns and textiles.']","['agricultural engineer', 'naval architect', 'biomedical engineer', 'food processing engineer', 'marine engineer', 'textile engineer', 'engineering physicist', 'engineering scientist', 'bio-resource engineer']","['Engineering managers', 'Physicists and astronomers', 'Chemical engineers', 'Engineer officers, water transport']"
NOC 2152,"Landscape architects conceptualize, design, plan and manage the construction of natural, cultural and built landscape development for commercial projects, office complexes, parks, golf courses and residential development. They are employed by government environmental and development agencies, landscape consulting firms and by architectural and engineering firms, or they are self-employed.","['Confer with clients to determine design needs', 'Survey and assess designated sites and develop designs taking into consideration landscape features, buildings, climate, future usage and other aspects', 'Prepare or oversee the preparation of detailed drawings for sites, including features such as trees, shrubs, gardens, lighting, walkways, patios, decks, benches, fences, retaining walls and fountains', 'Prepare or oversee preparation of site plans, reports, sketches, models, photographs, maps, land use studies, design plans such as landscape grading, drainage or planting, and construction details', 'Estimate costs, prepare specifications and evaluate tenders for landscape construction projects', 'Conduct environmental design studies, including environmental assessment, planning and the preservation and re-creation of historical sites', 'Conduct community and neighbourhood physical planning studies, participate in multidisciplinary urban design studies, prepare design guidelines, and develop master plans', 'May manage and supervise landscape construction work.']","['golf course architect', 'landscape architect', 'landscape planner']","['Architecture and science managers', 'Contractors and supervisors, landscaping, grounds maintenance and horticulture services', 'Architects', 'Urban and land use planners', 'Landscape and horticulture technicians and specialists']"
NOC 2161,"Mathematicians and statisticians research mathematical or statistical theories, and develop and apply mathematical or statistical techniques for solving problems in such fields as science, engineering, business and social science. Actuaries apply mathematics, statistics, probability and risk theory to assess potential financial impacts of future events. Mathematicians, statisticians and actuaries are employed by universities, governments, bank and trust companies, insurance companies, pension benefit consulting firms, professional associations, and science and engineering consulting firms.","['Mathematicians', 'Conduct research to extend mathematical knowledge in traditional areas of mathematics such as algebra, geometry, probability and logic', 'Apply mathematical techniques to the solution of problems in scientific fields such as physical science, engineering, computer science or other fields such as operations research, business or management.', 'Statisticians', 'Conduct research into the mathematical basis of the science of statistics', 'Develop statistical methodology and advise on the practical application of statistical methodology', 'Apply statistical theory and methods to provide information in scientific and other fields such as biological and agricultural science, business and economics, physical sciences and engineering, and the social sciences.', 'Actuaries', 'Apply mathematical models to forecast and calculate the probable future costs of insurance and pension benefits', 'Design life, health, and property insurance policies, and calculate premiums, contributions and benefits for insurance policies, and pension and superannuation plans', 'May assist investment fund managers in portfolio asset allocation decisions and risk management. They also use these techniques to provide legal evidence on the value of future earnings.']","['actuary', 'statistical analyst', 'biostatistician', 'demographer', 'insurance actuary', 'mathematician', 'statistician', 'consulting actuary']","['Financial managers', 'Other financial officers', 'Financial auditors and accountants', 'Insurance, real estate and financial brokerage managers', 'Financial and investment analysts', 'Statistical officers and related research support occupations']"
NOC 5221,"Photographers operate still cameras to photograph people, events, scenes, materials, products and other subjects. They are employed by photographic studios, newspapers, magazines, museums and government, or they may be self-employed.","['Study requirements of a particular assignment and decide on type of camera, film, lighting and background accessories to be used', 'Determine picture composition, make technical adjustments to equipment and photograph subject', 'May operate scanners to transfer photographic images to computers', 'May operate computers to manipulate photographic images', 'May adapt existing photographic images and create new digitized images to be included in multimedia/new media products', 'May use delicate instruments, such as optical microscopes attached to cameras', 'May process exposed film', 'May use airbrush, computer or other techniques to retouch negatives', 'Medical photographers may work closely with medical illustrators.', 'Photographers may specialize in areas such as portrait photography, commercial photography, scientific photography, forensic photography, medical photography, digitized photography, multimedia photography or photojournalism.']","['aerial photographer', 'commercial photographer', 'forensic photographer', 'industrial photographer', 'photographer', 'photojournalist', 'portrait photographer', 'scientific photographer']",['Film and video camera operators']
NOC 5222,"Film and video camera operators operate motion picture and video cameras and related equipment to record news, live events, films, videos and television broadcasts. They are employed by television networks and stations, motion picture and video production companies and in-house communications facilities of large corporations.","['Meet with director and senior members of camera crew to discuss assignment and determine filming sequences, camera movements and picture composition', 'Select and set up camera equipment to be used and attach lens, filters and film magazine to camera', 'Adjust focus, exposure, lighting and other camera settings', 'Operate film or video camera to record news, live events, films, videos and television broadcasts', 'Label and record contents of exposed film, and complete report sheets', 'Test, maintain and store equipment.']","['assistant camera operator', 'camera operator', 'motion picture camera operator', 'video camera operator', 'electronic news gathering (ENG) camera operator', 'film camera operator', 'studio camera operator', 'television camera operator']","['Producers, directors, choreographers and related occupations', 'Painters, sculptors and other visual artists', 'Photographers', 'Audio and video recording technicians', 'Support occupations in motion pictures, broadcasting, photography and the performing arts', 'Broadcast technicians']"
NOC 5245,"Patternmakers in this unit group create master patterns for the production of garments, footwear and other textile, leather or fur products. They are employed by pattern manufacturers, textile, leather or fur products manufacturers, or they may be self-employed.","['Examine sketches, samples of articles and specifications of designs to determine number, size and shape of pattern parts and assess the amount of cloth required to make a product', 'Draw, lay out and cut master patterns of products', 'Outline parts of patterns on paper and mark patterns to indicate details such as the placement of pockets and pleats on garments, decorative stitching on shoe parts or eyelets on canvas products', 'Create pattern size variations from master patterns using computer or drafting instruments, or forward patterns to computer operator to create pattern size variations', 'Lay out master patterns on fabric and cut sample patterns', 'Mark size, identification, style and sewing instructions on sample patterns.']","['dress patternmaker', 'embroidery patternmaker', 'fur garment patternmaker', 'garment patternmaker', 'leather products patternmaker', 'shoe patternmaker', 'textile products patternmaker']","['Supervisors, textile, fabric, fur and leather products processing and manufacturing']"
NOC 5252,"Coaches prepare and train individual athletes or teams for competitive events. They are employed by national and provincial sports organizations, professional and amateur sports teams, sports clubs and universities or they may be self-employed. This unit group also includes sports scouts who identify and recruit athletes for professional sports teams. They are employed by professional sports organizations.","['Coaches', 'Identify strengths and weaknesses of athletes or teams', 'Plan, develop and implement training and practice sessions', ""Nurture and develop athletes' potential skills and abilities"", 'Develop, plan and co-ordinate competitive schedules and programs', 'Motivate and prepare athletes or teams for competitive events or games', 'Formulate competitive strategies, develop game plans and direct athletes and players during games or athletic events', ""Analyse and evaluate athletes' or teams' performances and modify training programs."", 'Sports scouts', 'Identify and recruit developing athletes for professional sports teams', ""Observe and evaluate prospective athletes' skills and performance, and review their past records"", 'File reports on scouting assessments and recommendations with professional team employers.']","['figure skating coach', 'coach', 'national team coach', 'gymnastics coach', 'hockey coach', 'swimming coach', 'volleyball coach', 'head coach', 'soccer coach', 'sports scout', 'football scout', 'hockey scout']","['Sports officials and referees', 'Other professional occupations in therapy and assessment', 'Athletes', 'Program leaders and instructors in recreation, sport and fitness']"
NOC 6312,"Executive housekeepers direct and control the operations of housekeeping departments within hotels, hospitals and other establishments.","['Manage the operations of the housekeeping department', 'Plan and co-ordinate the activities of housekeeping supervisors and their crews', 'Conduct inspections to ensure that departmental standards and health and safety regulations are being met', 'Select and purchase equipment and supplies, and maintain inventory', 'Arrange for maintenance and repair of equipment and machinery', 'Hire, train and supervise housekeeping staff', 'Maintain financial records and prepare budgets, payroll and employee schedules.']","['assistant executive housekeeper', 'executive housekeeper', 'hospital executive housekeeper', 'hotel executive housekeeper', 'housekeeping manager', 'housekeeping director']","['Cleaning supervisors', 'Accommodation service managers', 'Facility operation and maintenance managers']"
NOC 6231,"Insurance agents and brokers sell life, automobile, property, health and other types of insurance to individuals, businesses and public institutions. Insurance agents are employed by individual insurance companies or are independent representatives of specific insurance companies. Insurance brokers are employed by brokerage firms, or may work in partnerships or hold sole proprietorship. Supervisors of insurance agents are included in this unit group.","['Sell automobile, fire, health, life, property, marine, aircraft and other types of insurance to clients', 'Establish client insurance coverage, calculate premiums and establish method of payment', 'Provide information concerning group and individual insurance packages, the range of risk coverage, benefits paid and other policy features', 'Ensure appropriate forms, medical examinations and other policy requirements are completed', ""Monitor insurance claims and respond to clients' enquiries"", 'Identify and solicit potential clientele.']","['insurance agent', 'insurance broker', 'insurance sales representative', 'insurance sales supervisor']","['Supervisors, finance and insurance office workers', 'Insurance underwriters', 'Insurance, real estate and financial brokerage managers']"
NOC 6222,Retail and wholesale buyers buy merchandise for resale by retail or wholesale establishments and are usually responsible for the merchandising operations of retail or wholesale establishments. Retail and wholesale buyers who are supervisors and those who are assistants are included in this unit group.,"['Purchase merchandise for resale by retail or wholesale establishments', 'Review requirements of establishment and determine quantity and type of merchandise to purchase', 'Study market reports, trade periodicals and sales promotion materials and visit trade shows, showrooms, factories and product design events', ""Select the merchandise which best fits the establishment's requirements"", 'Interview suppliers and negotiate prices, discounts, credit terms and transportation arrangements', 'Oversee distribution of merchandise to outlets and maintain adequate stock levels', 'Establish and maintain contact with suppliers', 'May supervise the work of other retail buyers.', 'Retail and wholesale buyers may specialize in a particular merchandise line.']","['appliance buyer', 'assistant buyer', 'buyer - retail', 'clothing buyer', 'food buyer', 'chief buyer', 'merchandiser', 'produce buyer', 'beverage taster and buyer', 'buyer - wholesale']",['Purchasing agents and officers']
NOC 6322,"Cooks prepare and cook a wide variety of foods. They are employed in restaurants, hotels, hospitals and other health care institutions, central food commissaries, educational institutions and other establishments. They are also employed aboard ships and at construction and logging campsites.","['Prepare and cook complete meals or individual dishes and foods', 'Prepare and cook special meals for patients as instructed by dietitian or chef', 'Schedule and supervise kitchen helpers', 'Oversee kitchen operations', 'Maintain inventory and records of food, supplies and equipment', 'May set up and oversee buffets', 'May clean kitchen and work area', 'May plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies', 'May hire and train kitchen staff.', 'Cooks may specialize in preparing and cooking ethnic cuisine or special dishes.']","['apprentice cook', 'journeyman/woman cook', 'licensed cook', 'cook', 'institutional cook', 'hospital cook', 'short order cook', 'dietary cook', 'grill cook', 'first cook', 'second cook', 'line cook']","['Chefs', 'Food counter attendants, kitchen helpers and related support occupations']"
NOC 4312,"Firefighters carry out firefighting and fire prevention activities, and assist in other emergencies. They are employed by municipal, provincial and federal governments and by large industrial establishments that have internal firefighting services.","['Respond to fire alarms and other calls for assistance, such as automobile and industrial accidents, bomb threats and other emergencies', 'Rescue victims from burning buildings and accident sites', 'Control and extinguish fires using manual and power equipment, such as axes, water hoses, aerial ladders and hydraulic equipment and various firefighting chemicals', 'Administer first aid and other assistance', 'Ensure proper operation and maintenance of firefighting equipment', 'Prepare written reports on fire incidents', 'Inform and educate the public on fire prevention', 'Train to maintain high level of physical fitness', 'Assist the public, the police and emergency organizations during times of major disasters', 'May participate as members of a trauma or emergency response team and provide paramedical aid to accident victims or ill persons', 'May supervise and co-ordinate the work of other firefighters', 'May conduct building inspections to ensure compliance with fire code.']","['airport firefighter', 'fire captain', 'lieutenant, firefighters', 'firefighter', 'firefighter, shipboard', 'industrial firefighter']","['Fire chiefs and senior firefighting officers', 'Paramedical occupations', 'Silviculture and forestry workers']"
NOC 6346,Funeral directors co-ordinate and arrange all aspects of funeral services. Embalmers prepare the remains of deceased persons for public visitation and burial. Funeral directors and embalmers are employed by funeral homes.,"['Funeral directors', 'Consult with the family of the deceased regarding the nature of the funeral service, the disposition of the remains and funeral costs', 'Transfer, or arrange for the transfer of, the remains from the place of death to the funeral home', 'Inform survivors of benefits for which they may be eligible', 'Issue death notices to newspapers', 'Oversee the preparation of the remains, plan and schedule funeral services, co-ordinate burials and cremations and complete legal documents', 'Discuss and negotiate prearranged funerals with clients', 'Manage funeral home operations including hiring and directing staff, maintaining financial records, preparing accounts and ordering merchandise', 'Supervise embalmers, funeral home attendants and other funeral home staff', 'May perform same duties as embalmers.', 'Embalmers', 'Preserve, sanitize and prepare human remains for funeral services', 'Perform cosmetic and restorative work on human remains', 'Supervise funeral home attendants and other funeral home staff.']","['apprentice embalmer', 'funeral director', 'embalmer', 'mortician']","['Senior managers - trade, broadcasting and other services, n.e.c.', 'Family, marriage and other related counsellors', 'Other service support occupations, n.e.c.']"
